Benchmark,DE rand/1/bin,DE best/1/bin,PSO,SOMA AtO,SOMA AtA
Ackley,3.655175193444443 (4),7.989720661388172 (3),3.1017429730514054 (1),0.8453117518114522 (5),7.836719696449717 (2)
Alpine,3.2523708902528337 (4),9.380083160738433 (3),2.18520519741283 (1),0.00802174557741546 (5),8.060907660684155 (2)
Alpine2,-9585.31059161771 (4),-2448.0380056349577 (1),-6397.6919340535 (3),-16520.305867107112 (2),-2181.1513984587373 (5)
DeJongSphere,2034.6805478062618 (4),6915.2064303557645 (3),10.5 (1),6.961533863249624e-06 (5),3393.332359914074 (2)
DifferentPowersSum,0.02022571540243339 (4),0.06509325390661687 (3),5.591254526827664e-06 (5),1.7704149648488685e-13 (1),0.013315101340459589 (2)
DixonPrice,8340.09482299021 (4),21007.626383808525 (3),9.6 (5),0.35245026070781565 (1),3085.54791844776 (2)
Exponential,-0.9556898340644968 (4),-0.8157004977525585 (3),-0.9968825913660198 (1),-0.999999997557229 (5),-0.8466849074133929 (2)
Griewank,0.9248045966616214 (4),2.5142459474809296 (3),0.44921023154402573 (1),0.15678120978064225 (5),1.9395403496419497 (2)
Matyas,801.4756753378954 (4),1951.3457054976873 (3),9.9 (1),1.0122712664403255 (5),1193.3838079695 (2)
Michalewicz,-7.282960243847359 (4),-6.130040618821808 (3),-8.369041512676638 (1),-9.096159299855609 (5),-6.852434541208497 (2)
Michalewicz2,-5.218713321466525 (4),-3.9319477249659402 (3),-7.133338118789687 (1),-8.965995389771928 (5),-4.7403580018182065 (2)
Qing,68.1263100255645 (3),86.76855549848715 (4),8.466666666666667 (1),55.02997449850725 (2),87.28921415772054 (5)
Quartic,3.04138566816929 (3),4.969243769241129 (4),1.7641226891424564 (1),1.9949686162933367 (5),3.859434418113713 (2)
Rastrigin,60.11182485586524 (3),84.33974704495095 (4),10.766666666666667 (1),10.874040725803173 (5),64.45845913374389 (2)
Rosenbrock,140.29818276435563 (4),562.993468316778 (3),9.8 (1),6.791089044495694 (5),239.70428439285257 (2)
RotatedHyperEllipsoid,6281.014901275655 (4),22430.890617297566 (3),9.466666666666667 (1),9.369919977632676e-05 (5),17605.24367214697 (2)
Salomon,0.20114933533778945 (4),0.29495334414016033 (3),0.1832193445954632 (1),0.17987334588162404 (5),0.2596712359533631 (2)
Schwefel,1312.2327607262716 (3),2027.1311306354567 (4),9.933333333333334 (1),466.55319918277314 (5),1920.0934401324246 (2)
Schwefel20,89.20752183324167 (4),161.74154682847353 (3),9.766666666666667 (1),0.2230443373027007 (5),154.87919368289238 (2)
Schwefel23,10564068.38758633 (4),27495099.430622682 (3),9.333333333333334 (5),9.161038428802062e-16 (1),280108.46010772546 (2)
Styblinski,-350.04947269359144 (4),-296.11414443991885 (1),-342.7137303149572 (3),-376.1112504723181 (2),-293.5207331228995 (5)
SumSquares,90.88492299050955 (4),242.74765727870738 (3),7.873745770999063 (1),5.97948763037922e-06 (5),168.98495335381853 (2)
Trid,10834.634008193154 (4),15813.495672131186 (3),10.766666666666667 (1),6.250978966246062e-05 (5),15125.818294815606 (2)
XinSheYang,1.7497538218965367 (4),12.56258168584959 (3),0.013434945599522156 (5),0.0035264020633013022 (1),0.7488013401775344 (2)
Zakharov,95.10548190219707 (4),64.45463803521348 (3),9.5 (5),0.001362363479746501 (2),49.29647507672076 (1)
